Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
20.434,50.68,16.0,435.0,12481.0,19509,939.772,0.14,0.5,0.12,0.569,0.34,0
20.448,51.23,8.0,440.0,12482.0,19520,939.772,0.13,0.45,0.11,0.514,0.308,0
20.462,51.77,11.0,440.0,12479.0,19515,939.762,0.12,0.42,0.1,0.487,0.291,0
20.477,52.28,0.0,420.0,12486.0,19532,939.769,0.11,0.38,0.09,0.434,0.259,0
20.491,52.74,0.0,414.0,12489.0,19535,939.747,0.1,0.36,0.08,0.408,0.244,0
20.505,53.12,3.0,413.0,12490.0,19541,939.754,0.09,0.31,0.07,0.359,0.215,0
20.519,53.5,0.0,410.0,12491.0,19541,939.755,0.08,0.29,0.07,0.336,0.201,0
20.533,53.84,0.0,413.0,12498.0,19552,939.747,0.07,0.26,0.06,0.293,0.175,0
20.547,54.13,0.0,400.0,12498.0,19569,939.757,0.07,0.24,0.06,0.273,0.163,0
20.561,54.41,6.0,415.0,12491.0,19559,939.761,0.06,0.21,0.05,0.236,0.141,0
20.575,54.67,7.0,406.0,12498.0,19553,939.766,0.06,0.19,0.05,0.2189999999999999,0.131,0
20.589,54.91,0.0,400.0,12503.0,19578,939.765,0.05,0.18,0.04,0.204,0.122,0
20.603,55.08,0.0,410.0,12497.0,19565,939.761,0.04,0.15,0.04,0.175,0.105,0
20.617,55.28,0.0,400.0,12505.0,19565,939.757,0.04,0.14,0.03,0.162,0.0969999999999999,0
20.631,55.49,0.0,400.0,12508.0,19581,939.762,0.03,0.12,0.03,0.138,0.083,0
20.645,55.86,8.0,404.0,12501.0,19574,939.754,0.03,0.09,0.02,0.1,0.06,0
20.659,55.99,9.0,406.0,12505.0,19582,939.754,0.02,0.08,0.02,0.092,0.055,0
20.673,56.11,0.0,400.0,12507.0,19585,939.745,0.02,0.07,0.02,0.078,0.047,0
20.687,56.18,0.0,400.0,12514.0,19594,939.741,0.02,0.06,0.01,0.072,0.043,0
20.701,56.32,0.0,408.0,12510.0,19587,939.722,0.02,0.05,0.01,0.061,0.036,0
20.715,56.36,6.0,416.0,12503.0,19580,939.711,0.01,0.05,0.01,0.0559999999999999,0.033,0
20.729,56.47,14.0,411.0,12508.0,19587,939.701,0.01,0.04,0.01,0.047,0.0279999999999999,0
20.743,56.55,11.0,404.0,12512.0,19596,939.693,0.01,0.04,0.01,0.043,0.026,0
20.756,56.6,11.0,404.0,12513.0,19591,939.707,0.01,0.03,0.01,0.036,0.022,0
20.77,56.66,4.0,400.0,12514.0,19595,939.718,0.01,0.03,0.01,0.033,0.02,0
20.784,56.91,0.0,400.0,12535.0,19628,939.722,0.01,0.02,0.01,0.0279999999999999,0.017,0
20.798,56.64,0.0,400.0,12532.0,19626,939.721,0.01,0.02,0.01,0.026,0.015,0
20.812,56.06,0.0,400.0,12538.0,19624,939.709,0.44,1.66,0.05,1.906,1.171,0
20.825,55.38,0.0,400.0,12539.0,19629,939.714,0.33,1.24,0.04,1.4280000000000002,0.877,0
20.839,54.75,0.0,401.0,12539.0,19636,939.718,0.14,0.52,0.02,0.594,0.365,0
20.853,54.14,4.0,406.0,12536.0,19627,939.719,0.08,0.32,0.01,0.364,0.223,0
20.867,53.6,11.0,415.0,12529.0,19625,939.734,0.23,0.83,0.07,0.95,0.579,0
20.88,53.11,0.0,400.0,12531.0,19635,939.746,0.21,0.78,0.07,0.893,0.545,0
20.894,52.66,0.0,418.0,12536.0,19647,939.752,0.18,0.65,0.05,0.742,0.452,0
20.908,52.27,10.0,411.0,12534.0,19635,939.76,0.16,0.59,0.05,0.6779999999999999,0.414,0
20.921,51.94,27.0,415.0,12527.0,19623,939.758,0.15,0.54,0.05,0.624,0.381,0
20.935,51.66,18.0,413.0,12530.0,19635,939.762,0.13,0.47,0.04,0.541,0.33,0
20.948,51.38,23.0,421.0,12532.0,19631,939.779,0.12,0.44,0.04,0.509,0.31,0
20.962,51.16,13.0,407.0,12533.0,19627,939.767,0.11,0.39,0.03,0.4479999999999999,0.273,0
20.976,50.92,7.0,407.0,12531.0,19630,939.771,0.1,0.36,0.03,0.419,0.256,0
20.989,50.72,18.0,401.0,12529.0,19622,939.77,0.09,0.32,0.03,0.366,0.223,0
21.003,50.55,18.0,412.0,12534.0,19646,939.773,0.08,0.29000000000000004,0.03,0.341,0.208,0
21.016,50.38,18.0,417.0,12529.0,19623,939.763,0.07,0.26,0.02,0.295,0.18,0
21.03,50.24,18.0,413.0,12532.0,19626,939.772,0.07,0.24,0.02,0.2739999999999999,0.1669999999999999,0
21.043000000000003,50.1,12.0,410.0,12533.0,19633,939.776,0.06,0.21,0.02,0.236,0.144,0
21.057,49.93,20.0,417.0,12526.0,19622,939.779,0.05,0.19,0.02,0.2189999999999999,0.133,0
21.07,49.88,19.0,400.0,12528.0,19620,939.777,0.04,0.16,0.01,0.187,0.114,0
21.084,49.74,2.0,405.0,12536.0,19631,939.781,0.04,0.15,0.01,0.173,0.106,0
21.097,49.67,16.0,408.0,12536.0,19619,939.778,0.04,0.13,0.01,0.148,0.09,0
21.11,49.55,15.0,404.0,12537.0,19631,939.764,0.03,0.12,0.01,0.136,0.083,0
21.124,49.47,18.0,405.0,12534.0,19631,939.772,0.03,0.1,0.01,0.1159999999999999,0.071,0
21.137,49.44,6.0,400.0,12540.0,19638,939.777,0.03,0.09,0.01,0.106,0.065,0
21.15,49.39,7.0,407.0,12540.0,19638,939.776,0.02,0.08,0.01,0.09,0.055,0
21.164,49.31,12.0,420.0,12533.0,19630,939.784,0.02,0.07,0.01,0.083,0.051,0
21.177,49.21,15.0,420.0,12536.0,19622,939.787,0.02,0.06,0.01,0.07,0.043,0
21.19,49.07,41.0,448.0,12515.0,19596,939.779,0.02,0.06,0.0,0.064,0.039,0
21.204,49.29,45.0,453.0,12516.0,19609,939.784,0.01,0.05,0.0,0.059,0.036,0
21.217,49.81,54.0,462.0,12510.0,19599,939.787,0.01,0.04,0.0,0.05,0.03,0
21.23,50.45,33.0,448.0,12517.0,19610,939.782,0.01,0.04,0.0,0.046,0.0279999999999999,0
21.243,51.03,42.0,439.0,12519.0,19608,939.781,0.01,0.03,0.0,0.038,0.023,0
21.257,51.56,34.0,437.0,12512.0,19606,939.775,0.01,0.03,0.0,0.035,0.021,0
21.27,52.04,26.0,441.0,12527.0,19617,939.78,0.01,0.03,0.0,0.0289999999999999,0.018,0
21.283,52.54,18.0,422.0,12525.0,19619,939.788,0.01,0.02,0.0,0.027,0.016,0
21.296,52.92,35.0,438.0,12526.0,19615,939.791,0.01,0.02,0.0,0.023,0.0139999999999999,0
21.309,53.32,27.0,424.0,12522.0,19618,939.792,0.0,0.02,0.0,0.021,0.013,0
21.323,53.65,23.0,419.0,12528.0,19619,939.799,0.22,0.69,0.39,0.7879999999999999,0.449,0
21.336,53.96,33.0,421.0,12524.0,19614,939.801,0.2,0.63,0.36,0.718,0.409,0
21.349,54.25,21.0,417.0,12530.0,19610,939.795,0.16,0.49,0.28,0.561,0.32,0
21.362,54.52,19.0,418.0,12529.0,19626,939.799,0.14,0.44,0.25,0.501,0.286,0
21.375,54.74,14.0,405.0,12533.0,19624,939.784,0.12,0.36,0.21,0.414,0.236,0
21.388,54.95,19.0,414.0,12527.0,19613,939.796,0.11,0.33,0.19,0.382,0.218,0
21.401,55.16,20.0,408.0,12532.0,19621,939.775,0.09,0.29,0.17,0.332,0.1889999999999999,0
21.414,55.32,8.0,410.0,12533.0,19626,939.782,0.09,0.27,0.16,0.31,0.177,0
21.427,55.53,16.0,406.0,12537.0,19629,939.788,0.08,0.24,0.14,0.27,0.154,0
21.44,55.64,2.0,400.0,12536.0,19635,939.787,0.07,0.22,0.13,0.251,0.143,0
21.453000000000003,55.81,15.0,406.0,12530.0,19631,939.789,0.06,0.19,0.11,0.217,0.124,0
21.466,55.9,9.0,401.0,12543.0,19631,939.792,0.06,0.18,0.1,0.2019999999999999,0.115,0
21.479,56.07,12.0,402.0,12534.0,19624,939.794,0.05,0.16,0.09,0.187,0.107,0
21.492,56.18,13.0,400.0,12537.0,19630,939.798,0.05,0.14,0.08,0.16,0.091,0
21.505,56.24,8.0,402.0,12537.0,19631,939.795,0.04,0.13,0.07,0.148,0.085,0
21.518,56.37,6.0,400.0,12540.0,19632,939.8,0.04,0.11,0.06,0.127,0.072,0
21.531,56.42,11.0,409.0,12539.0,19627,939.803,0.03,0.1,0.06,0.1169999999999999,0.067,0
21.543000000000003,56.5,16.0,408.0,12536.0,19628,939.804,0.03,0.09,0.05,0.099,0.057,0
21.556,56.62,13.0,401.0,12540.0,19626,939.809,0.03,0.08,0.05,0.092,0.052,0
21.569000000000003,56.69,11.0,400.0,12540.0,19626,939.809,0.02,0.07,0.04,0.078,0.044,0
21.582,56.91,0.0,400.0,12565.0,19664,939.8,0.02,0.06,0.04,0.071,0.0409999999999999,0
21.595,56.65,0.0,400.0,12565.0,19673,939.807,0.02,0.05,0.03,0.06,0.034,0
21.607,56.13,0.0,400.0,12565.0,19663,939.806,0.02,0.05,0.03,0.055,0.032,0
21.62,55.44,0.0,402.0,12566.0,19669,939.795,0.01,0.04,0.02,0.047,0.027,0
21.633000000000003,54.78,0.0,408.0,12565.0,19672,939.799,0.01,0.04,0.02,0.043,0.024,0
21.646,54.24,10.0,419.0,12562.0,19658,939.802,0.01,0.03,0.02,0.036,0.021,0
21.658,53.68,2.0,415.0,12558.0,19654,939.791,0.01,0.03,0.02,0.033,0.019,0
21.671,53.18,2.0,404.0,12560.0,19659,939.792,0.01,0.02,0.01,0.0279999999999999,0.016,0
21.684,52.75,0.0,400.0,12563.0,19658,939.798,0.01,0.02,0.01,0.025,0.015,0
21.696,52.37,6.0,408.0,12562.0,19648,939.798,0.01,0.02,0.01,0.021,0.012,0
21.709,52.01,2.0,413.0,12567.0,19661,939.804,0.01,0.02,0.01,0.02,0.011,0
21.722,51.72,10.0,415.0,12557.0,19654,939.802,0.0,0.01,0.01,0.016,0.009,0
21.734,51.45,7.0,413.0,12558.0,19659,939.803,0.0,0.01,0.01,0.015,0.009,0
21.747,51.18,2.0,413.0,12565.0,19665,939.805,0.0,0.01,0.01,0.0139999999999999,0.008,0
21.76,51.01,9.0,417.0,12563.0,19662,939.8,0.0,0.01,0.01,0.011,0.006,0
21.772,50.78,10.0,417.0,12565.0,19664,939.788,0.0,0.01,0.01,0.01,0.006,0
21.785,50.64,2.0,401.0,12564.0,19650,939.784,0.0,0.01,0.0,0.009,0.005,0
21.797,50.46,1.0,407.0,12563.0,19659,939.782,0.0,0.01,0.0,0.008,0.005,0
21.81,50.3,0.0,400.0,12565.0,19658,939.773,0.0,0.01,0.0,0.0069999999999999,0.004,0
21.822,50.16,21.0,425.0,12561.0,19649,939.782,0.0,0.01,0.0,0.006,0.003,0
21.835,50.04,10.0,426.0,12559.0,19649,939.796,0.0,0.0,0.0,0.005,0.003,0
21.847,49.93,6.0,420.0,12566.0,19662,939.791,0.0,0.0,0.0,0.005,0.003,0
21.86,49.85,6.0,417.0,12562.0,19653,939.792,0.0,0.0,0.0,0.004,0.002,0
21.872,49.76,8.0,420.0,12565.0,19660,939.806,0.0,0.0,0.0,0.003,0.002,0
21.885,49.64,5.0,417.0,12564.0,19655,939.821,0.0,0.0,0.0,0.003,0.002,0
21.897,49.58,11.0,411.0,12563.0,19651,939.815,0.0,0.0,0.0,0.003,0.001,0
21.909,49.5,11.0,421.0,12563.0,19647,939.805,0.0,0.0,0.0,0.002,0.001,0
21.922,49.42,0.0,414.0,12571.0,19657,939.805,0.0,0.0,0.0,0.002,0.001,0
21.934,49.38,7.0,418.0,12565.0,19653,939.803,0.0,0.0,0.0,0.002,0.001,0
21.946,49.269999999999996,4.0,406.0,12565.0,19659,939.819,0.0,0.0,0.0,0.001,0.001,0
21.959,49.16,28.0,442.0,12547.0,19629,939.812,0.0,0.0,0.0,0.001,0.001,0
21.971,49.32,39.0,455.0,12541.0,19629,939.817,0.0,0.0,0.0,0.001,0.001,0
21.983,49.87,29.0,440.0,12544.0,19631,939.813,0.0,0.0,0.0,0.001,0.001,0
21.996,50.49,31.0,445.0,12545.0,19632,939.81,0.0,0.0,0.0,0.001,0.0,0
22.008000000000003,51.08,28.0,453.0,12548.0,19631,939.818,0.0,0.0,0.0,0.001,0.0,0
22.02,51.65,26.0,440.0,12549.0,19633,939.832,0.0,0.0,0.0,0.001,0.0,0
22.032,52.13,28.0,433.0,12543.0,19638,939.82,0.21,0.54,0.58,0.614,0.324,0
22.044,52.62,23.0,433.0,12558.0,19649,939.815,0.15,0.41,0.44,0.46,0.243,0
22.057,53.02,20.0,430.0,12554.0,19644,939.815,0.1,0.27,0.29,0.307,0.162,0
22.069000000000003,53.45,21.0,438.0,12550.0,19642,939.817,0.04,0.1,0.11,0.115,0.061,0
22.081,53.75,16.0,426.0,12554.0,19644,939.817,0.02,0.06,0.06,0.067,0.035,0
22.093000000000004,54.05,26.0,431.0,12556.0,19638,939.811,0.01,0.02,0.02,0.022,0.011,0
22.105,54.36,32.0,437.0,12552.0,19637,939.809,0.0,0.01,0.01,0.012,0.006,0
22.117,54.59,29.0,417.0,12559.0,19641,939.813,0.0,0.0,0.0,0.004,0.002,0
22.13,54.83,21.0,420.0,12567.0,19645,939.81,0.0,0.0,0.0,0.002,0.001,0
22.142,55.03,20.0,420.0,12560.0,19641,939.794,0.0,0.0,0.0,0.001,0.0,0
22.154,55.25,20.0,421.0,12567.0,19654,939.791,0.0,0.0,0.0,0.0,0.0,0
22.166,55.46,12.0,415.0,12565.0,19639,939.791,0.0,0.0,0.0,0.0,0.0,0
22.178,55.61,11.0,410.0,12562.0,19649,939.799,0.0,0.0,0.0,0.0,0.0,0
22.19,55.73,11.0,400.0,12568.0,19652,939.805,0.0,0.0,0.0,0.0,0.0,0
22.202,55.88,18.0,417.0,12567.0,19656,939.812,0.0,0.0,0.0,0.0,0.0,0
22.214,56.02,14.0,403.0,12566.0,19656,939.812,0.0,0.0,0.0,0.0,0.0,0
22.226,56.14,17.0,405.0,12571.0,19659,939.821,0.0,0.0,0.0,0.0,0.0,0
22.238000000000003,56.26,11.0,401.0,12564.0,19660,939.823,0.0,0.0,0.0,0.0,0.0,0
22.25,56.32,2.0,403.0,12577.0,19663,939.826,0.0,0.0,0.0,0.0,0.0,0
22.262,56.43,2.0,400.0,12568.0,19662,939.815,0.0,0.0,0.0,0.0,0.0,0
22.273000000000003,56.53,5.0,404.0,12570.0,19659,939.808,0.0,0.0,0.0,0.0,0.0,0
22.285,56.63,4.0,404.0,12579.0,19665,939.808,0.0,0.0,0.0,0.0,0.0,0
22.297,56.69,6.0,403.0,12571.0,19661,939.81,0.0,0.0,0.0,0.0,0.0,0
22.309,56.76,2.0,400.0,12577.0,19663,939.82,0.0,0.0,0.0,0.0,0.0,0
22.321,56.99,0.0,400.0,12592.0,19679,939.817,0.0,0.0,0.0,0.0,0.0,0
22.333,56.77,0.0,400.0,12597.0,19694,939.815,0.0,0.0,0.0,0.0,0.0,0
22.344,55.02,0.0,401.0,12597.0,19689,939.817,0.0,0.0,0.0,0.0,0.0,0
22.356,54.41,0.0,408.0,12597.0,19685,939.809,0.0,0.0,0.0,0.0,0.0,0
22.368,53.84,1.0,410.0,12587.0,19681,939.803,0.0,0.0,0.0,0.0,0.0,0
22.38,53.38,0.0,402.0,12598.0,19689,939.81,0.0,0.0,0.0,0.0,0.0,0
22.392,51.95,4.0,413.0,12591.0,19675,939.809,0.0,0.0,0.0,0.0,0.0,0
22.403,51.66,0.0,400.0,12594.0,19682,939.81,0.0,0.0,0.0,0.0,0.0,0
22.415,51.38,2.0,409.0,12594.0,19693,939.814,0.0,0.0,0.0,0.0,0.0,0
22.427,51.19,1.0,405.0,12592.0,19678,939.815,0.0,0.0,0.0,0.0,0.0,0
22.438,50.83,12.0,400.0,12596.0,19688,939.806,0.0,0.0,0.0,0.0,0.0,0
22.45,50.65,1.0,401.0,12598.0,19680,939.798,0.0,0.0,0.0,0.0,0.0,0
22.462,50.49,12.0,412.0,12594.0,19680,939.804,0.0,0.0,0.0,0.0,0.0,0
22.473000000000003,50.36,1.0,407.0,12592.0,19674,939.806,0.0,0.0,0.0,0.0,0.0,0
22.485,50.2,13.0,409.0,12596.0,19677,939.801,0.0,0.0,0.0,0.0,0.0,0
22.497,50.09,2.0,405.0,12596.0,19681,939.803,0.0,0.0,0.0,0.0,0.0,0
22.508000000000003,49.96,15.0,403.0,12593.0,19681,939.806,0.0,0.0,0.0,0.0,0.0,0
22.52,49.89,3.0,402.0,12600.0,19679,939.81,0.82,2.08,2.51,2.349,1.216,0
22.531,49.78,12.0,409.0,12596.0,19677,939.807,0.81,2.06,2.49,2.326,1.204,0
22.543000000000003,49.71,1.0,400.0,12597.0,19676,939.813,0.77,1.97,2.38,2.226,1.153,0
22.554,49.63,6.0,401.0,12594.0,19673,939.81,0.75,1.91,2.31,2.158,1.117,0
22.566,49.57,0.0,402.0,12596.0,19684,939.803,0.69,1.57,2.64,1.765,0.8440000000000001,0
22.577,49.52,8.0,402.0,12596.0,19677,939.806,0.67,1.52,2.55,1.703,0.8140000000000001,0
22.589,49.43,8.0,405.0,12595.0,19676,939.812,0.62,1.39,2.34,1.5630000000000002,0.748,0
22.6,49.23,34.0,440.0,12576.0,19646,939.813,0.59,1.33,2.23,1.49,0.713,0
22.612,49.5,27.0,440.0,12577.0,19649,939.815,0.53,1.2,2.01,1.341,0.642,0
22.623,50.05,44.0,444.0,12574.0,19638,939.811,0.5,1.13,1.89,1.267,0.606,0
22.634,50.61,27.0,429.0,12582.0,19656,939.812,0.44,1.0,1.68,1.124,0.5379999999999999,0
22.646,51.18,39.0,449.0,12576.0,19651,939.802,0.42,0.94,1.58,1.056,0.505,0
22.657,51.74,22.0,422.0,12588.0,19664,939.802,0.39,0.88,1.48,0.99,0.474,0
22.669,52.22,22.0,416.0,12582.0,19652,939.813,0.34,0.77,1.3,0.866,0.414,0
22.68,52.7,28.0,424.0,12582.0,19650,939.804,0.32,0.72,1.21,0.809,0.387,0
22.691,53.13,24.0,418.0,12591.0,19660,939.807,0.28,0.63,1.05,0.7020000000000001,0.336,0
22.703000000000003,53.51,29.0,419.0,12581.0,19652,939.8,0.26,0.58,0.98,0.653,0.312,0
22.714,54.1,32.0,411.0,12591.0,19654,939.806,0.21,0.47,0.78,0.522,0.25,0
22.725,54.45,18.0,400.0,12593.0,19669,939.806,0.18,0.4,0.67,0.4479999999999999,0.214,0
22.736,54.71,20.0,409.0,12596.0,19655,939.809,0.16,0.37,0.62,0.414,0.198,0
22.748,54.87,23.0,404.0,12591.0,19672,939.801,0.14,0.32,0.53,0.353,0.1689999999999999,0
22.759,55.24,17.0,400.0,12596.0,19669,939.793,0.12,0.26,0.54,0.285,0.125,0
22.77,55.5,19.0,401.0,12595.0,19681,939.795,0.12,0.24,0.51,0.27,0.119,0
22.781,55.66,8.0,400.0,12601.0,19672,939.801,0.11,0.23,0.5,0.261,0.115,0
22.793000000000003,55.84,10.0,400.0,12602.0,19683,939.791,0.11,0.22,0.46,0.24,0.106,0
22.804,55.94,17.0,400.0,12601.0,19678,939.791,0.1,0.21,0.44,0.2289999999999999,0.1009999999999999,0
22.815,56.1,13.0,400.0,12600.0,19677,939.788,0.09,0.19,0.39,0.207,0.091,0
22.826,56.19,8.0,400.0,12601.0,19677,939.787,0.09,0.18,0.37,0.196,0.086,0
22.837,56.29,4.0,400.0,12600.0,19672,939.795,0.08,0.16,0.33,0.174,0.077,0
22.848000000000003,56.39,11.0,400.0,12608.0,19674,939.79,0.07,0.15,0.31,0.163,0.072,0
22.859,56.51,20.0,400.0,12608.0,19669,939.784,0.06,0.13,0.27,0.144,0.063,0
22.87,56.6,7.0,400.0,12608.0,19682,939.778,0.06,0.12,0.26,0.134,0.059,0
22.881,56.71,8.0,400.0,12605.0,19673,939.786,0.05,0.11,0.22,0.1169999999999999,0.052,0
22.892,56.75,10.0,400.0,12610.0,19673,939.8,0.06,0.1,0.26,0.115,0.047,0
22.904,56.85,10.0,400.0,12608.0,19674,939.79,0.06,0.11,0.28,0.121,0.049,0
22.915,57.07,0.0,400.0,12628.0,19703,939.804,0.06,0.11,0.29,0.127,0.051,0
22.926,56.85,0.0,400.0,12631.0,19709,939.808,0.06,0.11,0.29,0.127,0.051,0
22.937,56.27,0.0,400.0,12636.0,19703,939.811,0.06,0.11,0.28,0.123,0.05,0
22.947,55.58,0.0,400.0,12630.0,19701,939.812,0.06,0.11,0.28,0.121,0.049,0
22.958,54.37,10.0,400.0,12629.0,19698,939.804,0.05,0.1,0.25,0.108,0.044,0
22.969,53.86,10.0,400.0,12624.0,19699,939.807,0.05,0.09,0.23,0.099,0.04,0
22.98,53.35,7.0,400.0,12632.0,19701,939.825,0.05,0.08,0.21,0.094,0.038,0
22.991,52.9,4.0,400.0,12629.0,19697,939.82,0.04,0.08,0.19,0.084,0.034,0
23.002,52.52,4.0,400.0,12630.0,19701,939.815,0.04,0.07,0.18,0.079,0.032,0
23.013,52.15,3.0,400.0,12630.0,19712,939.804,0.05,0.08,0.24,0.092,0.034,0
23.024,51.86,7.0,400.0,12628.0,19698,939.808,0.06,0.1,0.32,0.114,0.0409999999999999,0
23.035,51.58,2.0,400.0,12622.0,19693,939.807,0.07,0.12,0.36,0.131,0.047,0
23.045,51.37,3.0,400.0,12626.0,19690,939.817,0.08,0.14,0.42,0.151,0.055,0
23.056,51.11,1.0,400.0,12626.0,19698,939.81,0.08,0.14,0.43,0.156,0.0559999999999999,0
23.067,50.96,2.0,400.0,12631.0,19698,939.802,0.1,0.18,0.48,0.201,0.079,0
23.078000000000003,50.77,0.0,400.0,12633.0,19706,939.814,0.1,0.19,0.51,0.209,0.0819999999999999,0
23.089,50.62,0.0,400.0,12630.0,19711,939.813,0.11,0.2,0.52,0.216,0.085,0
23.099,50.44,0.0,400.0,12630.0,19708,939.807,0.11,0.2,0.52,0.215,0.085,0
23.11,50.31,1.0,400.0,12633.0,19704,939.816,0.1,0.19,0.5,0.208,0.0819999999999999,0
23.121,50.19,12.0,400.0,12629.0,19689,939.808,0.1,0.18,0.49,0.203,0.08,0
23.131,50.08,5.0,400.0,12633.0,19696,939.813,0.09,0.17,0.46,0.1889999999999999,0.074,0
23.142,50.0,0.0,400.0,12629.0,19704,939.79,0.1,0.17,0.49,0.1889999999999999,0.072,0
23.153,49.85,12.0,400.0,12630.0,19698,939.791,0.1,0.18,0.5,0.195,0.074,0
23.163,49.71,11.0,400.0,12637.0,19710,939.812,0.1,0.17,0.49,0.192,0.073,0
23.174,49.66,14.0,400.0,12635.0,19696,939.8,0.09,0.17,0.47,0.183,0.069,0
23.185,49.6,0.0,400.0,12641.0,19707,939.808,0.09,0.16,0.46,0.177,0.067,0
23.195,49.53,14.0,400.0,12630.0,19703,939.801,0.09,0.16,0.46,0.18,0.068,0
23.206,49.45,1.0,400.0,12642.0,19698,939.805,0.09,0.17,0.47,0.185,0.07,0
23.216,49.31,33.0,400.0,12616.0,19686,939.811,0.09,0.17,0.48,0.187,0.071,0
23.227,49.97,37.0,400.0,12613.0,19678,939.817,0.09,0.16,0.45,0.176,0.067,0
23.238000000000003,50.61,51.0,400.0,12609.0,19660,939.821,0.09,0.16,0.44,0.171,0.065,0
23.248,51.19,44.0,400.0,12615.0,19674,939.827,0.09,0.16,0.49,0.175,0.062,0
23.259,51.75,37.0,400.0,12622.0,19674,939.821,0.1,0.17,0.55,0.182,0.061,0
23.269,52.63,40.0,400.0,12622.0,19679,939.825,0.11,0.19,0.62,0.204,0.068,0
23.28,53.07,39.0,400.0,12624.0,19676,939.822,0.12,0.19,0.62,0.205,0.069,0
23.29,53.48,34.0,400.0,12624.0,19685,939.816,0.11,0.18,0.61,0.201,0.067,0
23.3,53.84,19.0,400.0,12623.0,19681,939.821,0.11,0.18,0.6,0.196,0.066,0
23.311,54.17,31.0,400.0,12627.0,19676,939.804,0.11,0.19,0.58,0.21,0.076,0
23.321,54.43,31.0,400.0,12632.0,19698,939.798,0.11,0.2,0.59,0.214,0.077,0
23.332,54.71,12.0,400.0,12631.0,19698,939.807,0.11,0.2,0.59,0.214,0.077,0
23.342,54.92,9.0,400.0,12633.0,19698,939.791,0.12,0.22,0.6,0.239,0.092,0
23.353,55.14,15.0,400.0,12632.0,19697,939.802,0.13,0.23,0.63,0.25,0.096,0
23.363000000000003,55.36,18.0,400.0,12636.0,19697,939.8,0.13,0.23,0.69,0.254,0.093,0
23.373,55.55,22.0,400.0,12637.0,19694,939.797,0.15,0.26,0.82,0.284,0.099,0
23.384,55.74,9.0,400.0,12639.0,19705,939.796,0.16,0.27,0.85,0.294,0.103,0
23.394,55.89,18.0,400.0,12634.0,19701,939.789,0.16,0.27,0.87,0.301,0.105,0
23.404,56.0,2.0,400.0,12640.0,19704,939.803,0.16,0.27,0.86,0.299,0.104,0
23.414,56.17,11.0,400.0,12640.0,19697,939.794,0.16,0.27,0.85,0.295,0.103,0
23.425,56.27,16.0,400.0,12640.0,19699,939.806,0.17,0.27,0.9,0.295,0.098,0
23.435,56.37,5.0,400.0,12641.0,19699,939.799,0.17,0.27,0.9,0.294,0.098,0
23.445,56.48,13.0,400.0,12641.0,19704,939.803,0.16,0.26,0.87,0.285,0.095,0
23.455,56.57,2.0,400.0,12637.0,19695,939.793,0.16,0.25,0.85,0.278,0.093,0
